student_id,semester,year,class_id,grade,exam_type,tier_kmeans,difficulty_tier
0000000012,Fall,2018,C0000,2.3,take-home,Low,Hard
0000000012,Fall,2018,C0000,3.8,take-home,Low,Hard
0000000013,Fall,2018,C0000,3.2,take-home,Medium,Hard
0000000013,Fall,2018,C0000,2.2,take-home,Medium,Hard
0000000022,Fall,2018,C0000,3.9,take-home,Medium,Hard
0000000022,Fall,2018,C0000,3.8,take-home,Medium,Hard
0000000027,Fall,2018,C0000,3.2,take-home,High,Hard
0000000027,Fall,2018,C0000,5.0,take-home,High,Hard
0000000035,Fall,2018,C0000,2.8,take-home,High,Hard
0000000035,Fall,2018,C0000,4.1,take-home,High,Hard
0000000036,Fall,2018,C0000,7.5,take-home,Medium,Hard
0000000036,Fall,2018,C0000,3.4,take-home,Medium,Hard
0000000044,Fall,2018,C0000,5.4,take-home,High,Hard
0000000044,Fall,2018,C0000,5.7,take-home,High,Hard
0000000049,Fall,2018,C0000,7.6,take-home,High,Hard
0000000049,Fall,2018,C0000,3.2,take-home,High,Hard
0000000067,Fall,2018,C0000,3.1,take-home,Medium,Hard
0000000067,Fall,2018,C0000,4.5,take-home,Medium,Hard
0000000077,Fall,2018,C0000,6.4,take-home,High,Hard
0000000077,Fall,2018,C0000,5.8,take-home,High,Hard
0000000078,Fall,2018,C0000,1.6,take-home,Low,Hard
0000000078,Fall,2018,C0000,4.6,take-home,Low,Hard
0000000080,Fall,2018,C0000,5.6,take-home,High,Hard
0000000080,Fall,2018,C0000,6.6,take-home,High,Hard
0000000084,Fall,2018,C0000,2.9,take-home,Low,Hard
0000000084,Fall,2018,C0000,3.8,take-home,Low,Hard
0000000085,Fall,2018,C0000,3.6,take-home,Medium,Hard
0000000085,Fall,2018,C0000,4.5,take-home,Medium,Hard
0000000102,Fall,2018,C0000,4.5,take-home,Medium,Hard
0000000102,Fall,2018,C0000,4.5,take-home,Medium,Hard
0000000106,Fall,2018,C0000,2.8,take-home,Medium,Hard
0000000106,Fall,2018,C0000,4.8,take-home,Medium,Hard
0000000112,Fall,2018,C0000,3.4,take-home,Medium,Hard
